,songs
26," Last night  Our lovers  quarrel  I was thinking about you  Hurts more than I can say  And it was kinda dirty  All night  and the way that you looked at me  Help me here  it was kinda nasty, ah  Help me here  it was kinda trashy   Cause I can t help my mind from going there Heard your boyfriend was away this weekend Wanna meet at my place? Heard that we both got nothing to do When I lay in bed, I touch myself and think of you Last night Damn, you were in my sex dreams  you were in my  Doing really nasty things  you were in my dreams  Damn, you were in my sex dreams  you were in my  Making love in my sex dreams We could  I  be caught  just want this to be perfect  We re both convicted criminals of thought   Cause I m broken  Let s white  by the one before  glove the bed  He was kinda nasty, ah  Help me here  and I feel so trashy   Cause we can t hide the evidence in our heads Heard your boyfriend was away this weekend Wanna meet at my place? Heard that we both got nothing to do When I lay in bed, I touch myself and think of you Last night Damn, you were in my sex dreams  you were in my  Doing really nasty things  you were in my dreams  Damn, you were in my sex dreams  you were in my  Making love in my sex dreams  Don t stop the party  Making love in my sex dreams  Let s keep it naughty, yeah  Making love in my sex dreams  Watch me act a fool  Making love in my sex dreams Tomorrow when I run into you Tomorrow when I run into you You could turn to stone or the color of Men petrified by a woman In love, as I am when I lay with you I think of him, I think of him I can t believe I m telling you this But I ve had a couple of drinks and Oh my god Last night Damn, you were in my sex dreams  you were in my  Doing really nasty things  you were in my dreams  Damn, you were in my sex dreams  you were in my  Last night  don t stop the party  Damn, you were in my sex dreams  Let s keep it naughty, yeah  Doing really nasty things  Watch me act a fool  Damn, you were in my sex dreams  Tomorrow when I run into you  Making love in my sex dreams "
27,"I m gonna marry the night I won t give up on my life I m a warrior queen Live passionately tonight I m gonna marry the dark Gonna make love to the stark I m a soldier to my own emptiness I m a winner I m gonna marry the night I m gonna marry the night I m gonna marry the night I m gonna marry the night I m not gonna cry anymore I m gonna marry the night Leave nothing on these streets to explore Ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Oh, ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night I m gonna lace up my boots Throw on some leather and cruise Down the street that I love In my fishnet gloves, I m a sinner Then I ll go down to the bar But I won t cry anymore I ll hold my whiskey up high Kiss the bartender twice, I m a loser I m gonna marry the night I m gonna marry the night I m gonna marry the night I m not gonna cry anymore I m gonna marry the night Leave nothing on these streets to explore Ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Oh, ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Nothing s too cool to take me from you New York is not just a tan that you ll never loose Love is the new denim or black Skeleton guns are wedding bells in the attic Get Ginger ready, climb to El Camino front Won t poke holes in the seats with my heels  Cause that s where we make love Come on and run Turn the car on and run I m gonna marry the night I m gonna burn a hole in the road I m gonna marry the night Leave nothing on these streets to explore Ma-ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Oh, ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night Oh, ma-ma-marry, ma-ma-ma-marry Ma-ma-ma-marry the night I m gonna marry  marry , marry  marry  I m gonna marry  marry , marry  marry  Come on, come on The night, the night, the night  I m gonna  The night, the night, the night  I m gonna  The night, the night, the night The night, the night, the night The night, the night, the night "
28,"Eh-eh, eh-eh Ye-ha, ye-ha Eh-eh, eh-eh Aha-aha Eh-eh, eh-eh Ye-ha, ye-ha Eh-eh, eh-eh Aha-aha I love that lavender blonde The way she moves, the way she walks I touch myself, can t get enough And in the silence of the night Through all the tears and all the lies I touch myself, and it s alright Just give in Don t give up, baby Open up your heart and your mind to me Just know when That glass is empty That the world is gonna bend, yeah Happy in the club, with a bottle of red wine Stars in our eyes  cause we re having a good time Eh-eh, eh-eh So happy I could die Be your best friend, yeah, I ll love you forever Up in the clouds, we ll be higher than ever Eh-eh, eh-eh So happy I could die, and it s alright Eh-eh, eh-eh Ye-ha, ye-ha Eh-eh, eh-eh Aha-aha Eh-eh, eh-eh Ye-ha, ye-ha Eh-eh, eh-eh Aha-aha I am as vain as I allow I do my hair, I gloss my eyes I touch myself all through the night And when something falls out of place I take my time, I put it back I touch myself till I m on track Just give in Don t give up, baby Open up your heart and your mind to me Just know when That glass is empty That the world is gonna bend, yeah Happy in the club, with a bottle of red wine Stars in our eyes  cause we re having a good time Eh-eh, eh-eh So happy I could die Be your best friend, yeah, I ll love you forever Up in the clouds, we ll be higher than ever Eh-eh, eh-eh So happy I could die, and it s alright So happy I could die, and it s alright So happy I could die, and it s alright Eh-eh, eh-eh Ye-ha, ye-ha Eh-eh, eh-eh Aha-aha Eh-eh, eh-eh Ye-ha, ye-ha Eh-eh, eh-eh Aha-aha Happy in the club, with a bottle of red wine Stars in our eyes  cause we re having a good time Eh-eh, eh-eh So happy I could die Be your best friend, yeah, I ll love you forever Up in the clouds, we ll be higher than ever Eh-eh, eh-eh So happy I could die, and it s alright Happy in the club, with a bottle of red wine Stars in our eyes  cause we re having a good time Eh-eh, eh-eh So happy I could die Be your best friend, yeah, I ll love you forever Up in the clouds, we ll be higher than ever Eh-eh, eh-eh So happy I could die, and it s alright "
29,"In your brown eyes, walked away In your brown eyes, couldn t stay In your brown eyes, you watch her go And turn the record on And wonder what went wrong What went wrong If everything was everything But everything is over Everything could be everything If only we were older Guess it s just a silly song about you And how I lost you And your brown eyes In your brown eyes, I was feeling low Cause they re brown eyes and you never know Got some brown eyes, but a soft face I knew that it was wrong So baby, turn the record on Play that song Where everything was everything But everything is over Everything could be everything If only we were older I guess its just a silly song about you And how I lost you And your brown eyes Brown eyes Everything was everything But baby it s the last show Everything could be everything But it s time to say goodbye so Get your last fix, and your last hit Grab your old girl with her new tricks Honey yeah, it s no surprise I got lost in your brown eyes In your brown eyes Brown, brown eyes Your brown eyes Brown, brown eyes Got some brown eyes Brown, brown eyes Your brown eyes "
30,"Don t call me Gaga I ve never seen one like that before Don t look at me like that You amaze me He ate my heart, he a-a-ate my heart  you, little monster  He ate my heart, he a-a-ate my heart out  you amaze me  Ate my heart, he a-a-ate my heart He ate my heart, he a-a-ate my heart Look at him, look at me That boy is bad, and honestly He s a wolf in disguise But I can t stop staring in those evil eyes I asked my girlfriend if she d seen you  round before She mumbled something while we got down on the floor, baby ""We might ve fucked, not really sure, don t quite recall But something tells me that I ve seen him, yeah"" That boy is a monster  m-m-m-monster  That boy is a monster  m-m-m-monster  That boy is a monster  m-m-m-monster  That boy is a monster, -er, -er-er-er He ate my heart  I love that girl  He ate my heart  wanna talk to her, she s hot as hell  He ate my heart  I love that girl  He ate my heart  wanna talk to her, she s hot as hell  He licked his lips, said to me ""Girl, you look good enough to eat"" Put his arms around me Said, ""Boy, now get your paws right off of me"" I asked my girlfriend if she d seen you  round before She mumbled something while we got down on the floor, baby ""We might ve fucked, not really sure, don t quite recall But something tells me that I ve seen him, yeah"" That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster, -er, -er-er-er He ate my heart  I love that girl  He ate my heart  wanna talk to her, she s hot as hell  He ate my heart  I love that girl  He ate my heart  wanna talk to her, she s hot as hell  He ate my heart, he ate my heart Instead, he s the monster in my bed He ate my heart, he ate my heart Instead, he s the monster in my bed I wanna just dance, but he took me home instead Uh-oh, there was a monster in my bed We French kissed on a subway train He tore my clothes right off He ate my heart, and then he ate my brain Uh-oh, uh-oh  I love that girl   Wanna talk to her, she s hot as hell  He ate my heart  uh-oh  He a-a-ate my heart  I love that girl  He ate my heart  Wanna talk to her, she s hot as hell  That bo-, that bo-, that bo-, that bo-, that bo-, that bo- That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster, -er, -er-er-er That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster  m-m-m-monster   could I love him?  That boy is a monster, -er, -er-er-er "
31,"Cher: I don t know why you hurt inside, or what was said to make you cry. I hope that you can see, you are the greatest thing to me. I dont wa-wanna waste another day, without telling you that baby youre great. And I can see it written on your face, G-R-E-A-T, its all that you can be.  Cause when I m with you, I fall apart, to heal your permanently broken heart. Baby, you re the greatest to me, know no matter what, what, what. I don t know why you hurt inside, or what was said to make you cry. I hope that you can see, you are the greatest thing to me. And when, you re feeling like you re not enough, I ll give you wings, Ill lift you up. I hope that you can see, you are the greatest, greatest thing to me. Lady Gaga: When all your thoughts are dark and insecure, Ill build you a light, Cause baby Im sure that loving you has made me better, I take on your shadows, and make sure that you shine. Cher and Lady Gaga:  Cause when I m with you, I fall apart, to heal your permanently broken heart. Baby, you re the greatest to me, know no matter what, what, what. I don t know why you hurt inside, or what was said to make you cry. I hope that you can see, you are the greatest thing to me. And when, youre feeling like you re not enough, I ll give you wings, Ill lift you up. I hope that you can see, you are the greatest, greatest thing to me. Cher: The greatest thing, greatest thing, greatest thing to me, gonna re-repeat myself so I know that yall are listening. The greatest thing, greatest thing, greatest thing to me, gonna re-repeat myself so I know that yall are listening. Cher and Lady Gaga:  Cause when I m with you, I fall apart, to heal your permanently broken heart. Baby, you re the greatest to me, know no matter what, what, what. I don t know why you hurt inside, or what was said to make you cry. I hope that you can see, you are the greatest thing to me. And when, youre feeling like you re not enough. I ll give you wings, Ill lift you up. I hope that you can see, you are the greatest, greatest thing to me. "
32,"Take my hand, stay, Joanne Heaven s not ready for you Every part of my aching heart Needs you more than the angels do Girl, where do you think you re goin ? Where do you think you re goin , goin , girl? Girl, where do you think you re goin ? Where do you think you re goin , goin , girl? If you could, I know that you d stay We both know things don t work that way I promised I wouldn t say goodbye So I grin, and my voice gets thin Girl, where do you think you re goin ? Where do you think you re goin , goin , girl? Girl, where do you think you re goin ? Where do you think you re goin , goin , girl? Honestly, I know where you re goin  And, baby, you re just moving on And I ll still love you even if I can t see you anymore Can t wait to see you soar Girl, where do you think you re goin ? Where do you think you re goin , goin , girl? Girl, where do you think you re goin ? Where do you think you re goin , goin , girl? "
33,"I ll undress you,  cause you re tired Cover you as you desire When you fall asleep inside my arms May not have the fancy things But I ll give you everything You could ever want, it s in my arms So baby tell me yes And I will give you everything So baby tell me yes And I will be all yours tonight So baby tell me yes And I will give you everything I will be right by your side If I can t find the cure, I ll I ll fix you with my love No matter what you know, I ll I ll fix you with my love And if you say you re okay I m gonna heal you anyway Promise I ll always be there Promise I ll be the cure  be the cure  Rub your feet, your hands, your legs Let me take care of it, babe Close your eyes, I ll sing your favorite song I wrote you this lullaby Hush now baby, don t you cry Anything you want could not be wrong So baby tell me yes And I will give you everything So baby tell me yes And I will be all yours tonight So baby tell me yes And I will give you everything I will be right by your side If I can t find the cure, I ll I ll fix you with my love No matter what you know, I ll I ll fix you with my love And if you say you re okay I m gonna heal you anyway Promise I ll always be there Promise I ll be the cure  be the cure  I ll fix you with my love  I ll fix you with my love-lo-love  I ll fix you with my love  I ll fix you with my love-lo-love  If I can t find the cure, I ll I ll fix you with my love No matter what you know, I ll I ll fix you with my love And if you say you re okay I m gonna heal you anyway Promise I ll always be there Promise I ll be the cure  be the cure  Promise I ll be the cure  be the cure  I ll fix you with my love "
34,"Rocket number nine, take off to the planet, to the planet Venus Aphrodite lady, seashell bikini, garden panty, Venus Let s blast off to a new dimension, in your bedroom, Venus Aphrodite lady, seashell bikini, get with me, Venus I can t help the way I m feeling Goddess of love, please take me to your leader I can t help, I keep on dancing Goddess of love, Goddess of love Take me to your planet  to the planet  Take me to your planet  to the planet  Take me to your leader  to the planet  Your leader, your leader  to the planet  Take me to your planet  to the planet  Take me to your planet  to the planet  Take me to your Venus  to the planet  Your Venus, your Venus  to the planet  When you touch me, I die just a little inside I wonder if this could be love, this could be love  Cause you re out of this world, galaxy, space and time I wonder if this could be love  Venus  Have an oyster, baby, it s aphrod-i-sy Act sleazy, Venus Worship to the land, a girl from the planet To the planet  to the planet  I can t help the way I m feeling Goddess of love, please take me to your leader I can t help, I keep on dancing Goddess of love, Goddess of love Take me to your planet  to the planet  Take me to your planet  to the planet  Take me to your leader  to the planet  Your leader, your leader  to the planet  Take me to your planet  to the planet  Take me to your planet  to the planet  Take me to your Venus  to the planet  Your Venus, your Venus  to the planet  When you touch me, I die just a little inside I wonder if this could be love, this could be love  Cause you re out of this world, galaxy, space and time I wonder if this could be love, this could be love Wonder if this could be love, this could be... Goddess of love Wonder if this could be love, Venus Neptune, go Now serve, Pluto Saturn, Jupiter, Mercury, Venus, uh ha Uranus, don t you know my ass is famous? Mars, now serve for the gods Earth, serve for the stars When you touch me, I die just a little inside I wonder if this could be love, this could be love  Cause you re out of this world, galaxy, space and time I wonder if this could be love, this could be love Wonder if this could be love, this could be... Goddess of love Wonder if this could be love Venus "
35,"I don t want to rule the world It s a change I m here to see I walk along on a lonely road Of many wonders to believe You can try to hit the top Or selling it out a masterpiece You got a throne full of gold I got someone to believe This ain t about kings or queens In a battle you and me Do you need a dose of truth? What am I supposed to do? How can you deal with it? Do you just avoid the guilt? There s something you gotta know If you can t deal with me Shut your mouth Sip on that tea It s been so long Since I ve had a sip and I get this feeling I need a green detox, the truth will be the winner tonight This ain t about kings or queens In a battle you and me Do you need a dose of truth? What am I supposed to do? How can you deal with it? Do you just avoid the guilt? This ain t about kings or queens In a battle you and me Do you need a dose of truth? What am I supposed to do? How can you deal with it? Do you just avoid the guilt? It s been so long Since I ve had a sip and I get this feeling I need a green detox, the truth will be the winner tonight This ain t about kings or queens In a battle you and me Do you need a dose of truth? What am I supposed to do? How can you deal with it? Do you just avoid the guilt? "
36,"It s like, I just love a cowboy, you know I m just like, I just, I know it s bad, but I m just like Can I just like, hang off the back of your horse And can you go a little faster?! 3 am, mustang speeding Two lovers headed for a dead end Too fast, hold tight, he laughs Running through the red lights Hollering over, rubber spinning Big swig, toss another beer can Too lit, tonight, praying On the moonlight Every John is just the same I m sick of their city games I crave a real wild man I m strung out on John Wayne  Dat - doo - deet - doe   Dat - doo - deet - doe, dat - doo - deet - doe  Baby, let s get high, John Wayne  Dat - doo - deet - doe   Dat - doo - deet - doe, dat - doo - deet - doe  Baby, let s get high, John Wayne Blue collar and a red-state treasure Love junkie on a three-day bender His grip, so hard, eyes glare Trouble like a mug shot Charged up  cause the man s on a mission 1-2 ya, the gears are shifting He called, I cried, we broke Racing through the moonlight Every John is just the same I m sick of their city games I crave a real wild man I m strung out on John Wayne  Dat - doo - deet - doe   Dat - doo - deet - doe, dat - doo - deet - doe  Baby, let s get high, John Wayne  Dat - doo - deet - doe   Dat - doo - deet - doe, dat - doo - deet - doe  Baby, let s get high, John Wayne So here I go to the eye of the storm Just to feel your love Knock me over Here I go into our love storm  Dat - doo - deet - doe   Dat - doo - deet - doe, dat - doo - deet - doe  Baby, let s get high, John Wayne  Dat - doo - deet - doe   Dat - doo - deet - doe, dat - doo - deet - doe  Baby, let s get high, John Wayne "
37,"Fashion! Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Slay! Slay! Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Fashion! Step into the room like it s a catwalk Fashion! Singing to the tune, just to keep them talking Fashion! Walk into the light, display your diamonds and pearls in my Fashion! Married to the night, I own the world, we own the world Look at me now I feel on top of the world in my Fashion! Look at me now I feel on top of the world in my Fashion! Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Slay! Slay! Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Slay! Slay! You ve got company, make sure you look your best Fashion! Make up on your face, a new designer dress Fashion! There s life on Mars Where the couture is beyond, beyond! Fashion! Married to the stars, I own the world, we own the world Look at me now I feel on top of the world in my Fashion! Look at me now I feel on top of the world in my Fashion! Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Slay! Slay! Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Slay! Slay! I take it off I put it on I feel alive when I transform But this love s not material Now take it in and turn me on Zip me up it can t be wrong Cuz your new look s ethereal Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Looking good and feeling fine Fashion! Je me sens en paradis en Fashion! Donnez moi Christian Louboutins Fashion! Le monde est t̩moin. C est la vie en Fashion! Je suis en haute couture en Fashion! Fashion, fashion! Fashion, fashion! Fashion, fashion! Fashion, fashion! "
38,"Groove slam, work it back Filter that, baby bump that track Groove slam, work it back Filter that, baby bump that track Groove slam, work it back Space Cowboy just play that track Gaga in the room, so starstruck Cherry cherry cherry cherry, boom boom Rollin  up to the club on the weekend Stylin  out to the beat that you re freakin  Fantasize on the track that you re tweakin  Blow my heart up Put your hands on my waist, pull the fader Run it back with original flavor Queue me up, I m the twelve on your table I m so starstruck So starstruck, baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? Baby now that we re alone, got a request Would you make me number one on your playlist? Got your dirty headphones with the left side on Wanna scratch it back and forth, back and forth, uhuh Put your hands on my waist, pull the fader Run it back with original flavor Put the breakdown first Up into the to the verse, bick a bick a reverse So starstruck, baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? Hey, lived all my life really, really is that him? I haven t seen here before, and she got all them big rims It s it like cash flow, my baby don t trip Should shawty say hand over your signature right here Like a just a dotted line, and I m supposed to sign How she add it up, a fanatic and I think it s going down She s so starstruck, the gal all stuck I shoulda had an overdose on too many Starbucks Ain t neva seen a balla, paper that stack taller Stunna soon let the top back on that Chevy impala Hummers and all that fully loaded with two ballers What do you call that when you re shawty with two daughters? But that s another chapter, slow lover bachelor I don t know me, that s part of the baby actor Complete swagger, there go the dagger Got what she want, shawty happily ever after I m so starstruck, baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? Groove slam, work it back Filter that, baby bump that track Groove slam, work it back Filter that, baby bump that track Groove slam, work it back Filter that, baby bump that track Groove slam, work it back Filter that, baby bump that track Baby now that we re alone, got a request Would you make me number one on your playlist? Got your dirty headphones with the left side on Wanna scratch it back and forth, back and forth, uhuh Put your hands on my waist, pull the fader Run it back with original flavor Put the breakdown first Up into the to the verse, I m so, I m so Starstruck, baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so starstruck Baby could you blow my heart up? I m so, I m so "
39,"Sometimes a story has no end Sometimes I think that we could just be friends "" Cause I m a wandering man,"" he said to me ""And what about our future plans? Does this thing we have even make sense When I got the whole world in front of me?"" So I said I don t wanna be alone forever, but I can be tonight I don t wanna be alone forever, but I love gypsy life I don t wanna be alone forever Maybe we could see the world together I don t wanna be alone forever, but I can be tonight! Tonight! So I just packed my baggage, and Said goodbye to family and friends And took a road to nowhere on my own Like Dorothy on a yellow brick Hope my ruby shoes get us there quick  Cause I left everyone I love at home And I don t wanna be alone forever, but I can be tonight I don t wanna be alone forever, but I love gypsy life I don t wanna be alone forever Maybe we could see the world together I don t wanna be alone forever, but I can be tonight! Tonight!  Cause I m, I m, I m, I m, I m, I m a gypsy, gypsy, gypsy, I m I m, I m, I m, I m, I m, I m a gypsy, gypsy, gypsy, I m I m, I m, I m, I m, I m, I m a gypsy, gypsy, gypsy, I m I m, I m, I m, I m, I m, I m gypsy, gypsy, gypsy, I m And then he asked me, he said: ""Baby, why do we love each other?"" I said: ""Honey, it s simple It s the way that you love and treat your mother"" Thought that I would be alone forever But I won t be tonight I m a man without a home, but I think With you, I could spend my life And you ll be my little gypsy princess Pack your bags, and we can chase the sunset Bust the rear view, and fire up the jets  Cause it s you and me Baby, for life!  If you go with me  For life!  See the world with me   Cause I m, I m, I m, I m, I m, I m a gypsy, gypsy, gypsy, I m I m, I m, I m, I m, I m, I m a gypsy, gypsy, gypsy, I m Russia, UK, Paris, I m Italian, Asian kompai Africa, India, I m gypsy, gypsy, gypsy, I m Latin American, I don t speak German, but I try Someday in Jakarta, I m American, I m gypsy, I Bangkok, Australia, Malaysia, Sweden, Finland, Norway Be my home just for the day I m a gypsy, gypsy, gypsy, hey "
40,"I am so fab Check out, I m blonde, I m skinny, I m rich And I m a little bit of a bitch I wanna dress you up in silk taffeta Tailor these clothes to fit your guilt, what s your size? This purse can hold my black card and tiara Versace promises I will, Dolce Vita What do you wanna wear this spring? What do you think is the new thing? What do you wanna wear this season? Donatella  I m smokin   em on full tank of gas  Mi-mi-bella  I m a rich bitch, I m the upper class  All of the day  I m the pearl to your oyster, I m a babe  I m gonna smoke Marlboro Lights and drink champagne  I smoke Marlboro Reds and drink champagne  Donatella  Cause she walks so bad like it feels so good Listen to her radiate, her magic Even though she knows she s misunderstood Voodoo, voodoo, voo-don-na-na Walk down the runway, but don t puke, it s okay You just had a salad today, boulangerie Just ask your gay friends their advice before you Get a spray tan on holiday in Taipei What do you wanna wear this spring? What do you think is the new thing? What do you wanna wear this season? Donatella  I m smokin   em on full tank of gas  Mi-mi-bella  I m a rich bitch, I m the upper class  All of the day  I m the pearl to your oyster, I m a babe  I m gonna smoke Marlboro Lights and drink champagne  I smoke Marlboro Reds and drink champagne  Donatella  Cause she walks so bad like it feels so good Listen to her radiate, her magic Even though she knows she s misunderstood Voodoo, voodoo, voo-don-na-na Check it out, take it in  Cause that bitch, she s so thin  Voo-don-na-na  She s so rich and so blonde She s so fab, it s beyond What do you wanna wear this spring? What do you think is the new thing? What do you wanna wear this season? Donatella, Donatella, all of the day I m gonna wear designer and forget your name Donatella Donatella  Cause she walks so bad like it feels so good Listen to her radiate, her magic Even though she knows she s misunderstood Voodoo, voodoo, voo-don-na-na Voo-don-na-na "
41,"Hey there sugar baby saw you twice at the pop show. You taste just like glitter mixed with rock and roll. I like you a lot, lot, Think you re really hot, hot. Know you think you re special when we dance real crazy, Glamophonic, electronic, d-d-disco baby. I like you a lot, lot, All we want is hot, hot. Boys, Boys, Boys. We like boys in cars. Boys, Boys, Boys. Buy us drinks in bars. Boys, Boys, Boys. With hairspray and denim, and Boys, Boys, Boys. We love them! We love them! Ohh, oh oh oh- uh-ohhhh-oooo-wuh-ohh Ohh, oh oh oh- uh-ohhhh-oooo-wuh-ohh Baby is a bad boy with some retro sneakers. Let s go see The Killers and make out in the bleachers. I like you a lot, lot, Think you re really hot, hot, Let s go to the party heard our buddy s the DJ. Don t forget my lipstick, I left it in your ashtray. I like you a lot, lot, All we want is hot, hot. Boys, Boys, Boys. We like boys in cars. Boys, Boys, Boys. Buy us drinks in bars. Boys, Boys, Boys. With hairspray and denim, and Boys, Boys, Boys. We love them! We love them! Boys, Boys, Boys. We like boys in cars. Boys, Boys, Boys. Buy us drinks in bars. Boys, Boys, Boys. With hairspray and denim, and Boys, Boys, Boys. We love them! We love them! I m not loose, I like to party. Let s get lost in your Ferrari, Not psychotic or dramatic, I like boys and that is that. Love it when you call me ""legs"", In the morning buy me eggs, Watch your heart when we re together. Boys like you love me for ever. Ohh, oh oh oh- uh-ohhhh-oooo-wuh-ohh Ohh, oh oh oh- uh-ohhhh-oooo-wuh-ohh Ohh, oh oh oh- uh-ohhhh-oooo-wuh-ohh Ohh, oh oh oh- uh-ohhhh-oooo-wuh-ohh Boys, Boys, Boys. We like boys in cars. Boys, Boys, Boys. Buy us drinks in bars. Boys, Boys, Boys. With hairspray and denim, and Boys, Boys, Boys. We love them! We love them! Boys, Boys, Boys. We like boys in cars. Boys, Boys, Boys. Buy us drinks in bars. Boys, Boys, Boys. With hairspray and denim, and Boys, Boys, Boys. We love them! We love them! Boys, Boys, Boys. We like boys in cars. Boys, Boys, Boys. Buy us drinks in bars. Boys, Boys, Boys. With hairspray and denim, and Boys, Boys, Boys. We love them! We love them! "
42,"Don t be scared I ve done this before Show me your teeth Show me your teeth Show me your teeth Don t want no money  want your money  That shit s ugly Just want your sex  want your sex  Take a bite of my bad girl meat  bad girl meat  Take a bite of me Show me your teeth Let me see your mean Got no direction  no direction  I need direction Just got my vamp  got my vamp  Take a bite of my bad girl meat  bad girl meat  Take a bite of me, boy Show me your teeth The truth is sexy Tell me something that ll save me I need a man who makes me alright  man who makes me alright  Just tell me when it s alright Tell me something that ll change me I m gonna love you with my hands tied Show me your teeth  just tell me when  Show me your teeth  open your mouth, boy  Show me your teeth  show me what you got  Show me your teeth, teeth, teeth, teeth Got no salvation  no salvation  Got no salvation Got no religion  no religion  My religion is you Take a bite of my bad girl meat  bad girl meat  Take a bite of me, boy Show me your teeth I m a tough bitch Got my addictions  my addictions  And I love to fix  em  and I love to fix  em  No one s perfect Take a bite of my bad girl meat  bad girl meat  And I m not a bad woman Show me your teeth I just need a little guidance Tell me something that ll save me I need a man who makes me alright  man who makes me alright  Just tell me when it s alright Tell me something that ll change me I m gonna love you with my hands tied Show me your teeth  just tell me when  Show me your teeth  open your mouth, boy  Show me your teeth  show me what you got  Show me your teeth, teeth, teeth, teeth Show me your teeth My religion is you My religion is you Help, need a man Now show me your fangs Help, need a man Now show me your fangs  my religion is you  Help, need a man Now show me your fangs Help, need a man Now show me your fangs Help, need a man  my religion is you  Now show me your fangs Help, need a man Now show me your fangs Help, need a man Now show me your fangs Help, need a man Now show me your fangs Tell me something that ll save me I need a man who makes me alright  man who makes me alright  Just tell me when it s alright Tell me something that ll change me I m gonna love you with my hands tied Show me your teeth  just tell me when  Show me your teeth  open your mouth, boy  Show me your teeth  show me what you got  Show me your teeth, teeth, teeth, teeth Show me your teeth It s not how big, it s how mean It s not how big, it s how mean Show me your teeth Show me your teeth Show me your teeth Show me your teeth Show me your teeth  open your mouth, boy  Show me your teeth  my religion is you  Show me your teeth, teeth, teeth  show me your teeth  Show me your teeth Show me your teeth  I just need a little guidance  Show me your teeth Show me your teeth Show me your teeth  show me your teeth  Show me your teeth  come on  Show me your teeth, teeth, teeth, teeth "
43,"Come to me In all your glamour and cruelty Just do that thing that you do And I ll undress you Keep it tight Sometimes the simplest move is right The melody that you choose Can rescue you A hybrid can withstand these things My heart can beat with bricks and strings My ARTPOP could mean anything We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  ARTPOP, ARTPOP Come to me With all your subtext and fantasy Just do that thing that you do In a perverse hue Lovers  kites Are flown on beaches for public sight The color palette you choose Can profit you A hybrid can withstand these things My heart can beat with bricks and strings My ARTPOP could mean anything Could try to sell you out, or I Could show you all the reasons why My ARTPOP could mean anything We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  ARTPOP, ARTPOP Brushes with darkness won t help you create Your destiny of self But ARTPOP could mean anything Anything I try to sell myself, but I am really laughing Because I just love the music, not the bling Music, not the bling We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  ARTPOP, ARTPOP We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  We could, we could belong together  ARTPOP  ARTPOP, ARTPOP Free my mind, ARTPOP You make my heart stop "
